"ID number","Word","Part of Speech","CEFR","Points","","","",""
"1","the","Determiner","“A1”","6","","","",""
"2","be","Verb","“A1”","6","","","",""
"3","of","Preposition","“A1”","6","","","",""
"4","and","Conjunction","“A1”","6","","","",""
"5","in","Preposition","“A1”","6","","","",""
"6","to","Miscellaneous","“A1”","6","","","",""
"7","to","Preposition","“A1”","6","","","",""
"8","for","Preposition","“A1”","6","","","",""
"9","have","Verb","“A1”","6","","","",""
"10","with","Preposition","“A1”","6","","","",""
"11","on","Preposition","“A1”","6","","","",""
"12","it","Pronoun","“A1”","6","","","",""
"14","by","Preposition","“A1”","6","","","",""
"15","at","Preposition","“A1”","6","","","",""
"16","from","Preposition","“A1”","6","","","",""
"17","that","Pronoun","“A1”","6","","","",""
"18","an","Determiner","“A1”","6","","","",""
"19","or","Conjunction","“A1”","6","","","",""
"20","this","Determiner","“A1”","6","","","",""
"21","not","Adverb","“A1”","6","","","",""
"22","you","Pronoun","“A1”","6","","","",""
"23","will","Modal verb","“A1”","6","","","",""
"24","do","Verb","“A1”","6","","","",""
"25","but","Conjunction","“A1”","6","","","",""
"26","we","Pronoun","“A1”","6","","","",""
"27","can","Modal verb","“A1”","6","","","",""
"28","which","Pronoun","“A1”","6","","","",""
"29","they","Pronoun","“A1”","6","","","",""
"30","their","Pronoun","“A1”","6","","","",""
"31","as","Preposition","“A1”","6","","","",""
"32","as","Adverb","“A1”","6","","","",""
"33","all","Determiner","“A1”","6","","","",""
"34","make","Verb","“A1”","6","","","",""
"35","if","Preposition","“A1”","6","","","",""
"36","as","Conjunction","“A1”","6","","","",""
"37","also","Adverb","“A1”","6","","","",""
"38","one","Number","“A1”","6","","","",""
"39","who","Determiner","“A1”","6","","","",""
"40","time","Noun","“A1”","6","","","",""
"41","other","Adjective","“A1”","6","","","",""
"42","take","Verb","“A1”","6","","","",""
"43","year","Noun","“A1”","6","","","",""
"44","use","Verb","“A1”","6","","","",""
"45","he","Pronoun","“A1”","6","","","",""
"46","there","Pronoun","“A1”","6","","","",""
"47","your","Pronoun","“A1”","6","","","",""
"48","would","Modal verb","“A1”","6","","","",""
"49","his","Pronoun","“A1”","6","","","",""
"50","see","Verb","“A1”","6","","","",""
"51","into","Preposition","“A1”","6","","","",""
"52","good","Adjective","“A1”","6","","","",""
"53","our","Pronoun","“A1”","6","","","",""
"54","its","Pronoun","“A1”","6","","","",""
"55","about","Preposition","“A1”","6","","","",""
"56","out","Adverb","“A1”","6","","","",""
"57","new","Adjective","“A1”","6","","","",""
"58","any","Determiner","“A1”","6","","","",""
"59","when","Conjunction","“A1”","6","","","",""
"60","give","Verb","“A1”","6","","","",""
"61","go","Verb","“A1”","6","","","",""
"62","than","Preposition","“A1”","6","","","",""
"63","get","Verb","“A1”","6","","","",""
"64","include","Verb","“A1”","6","","","",""
"65","say","Verb","“A1”","6","","","",""
"66","so","Conjunction","“A1”","6","","","",""
"67","people","Noun","“A1”","6","","","",""
"68","some","Determiner","“A1”","6","","","",""
"69","these","Determiner","“A1”","6","","","",""
"70","over","Preposition","“A1”","6","","","",""
"71","no","Exclamation","“A1”","6","","","",""
"72","only","Adverb","“A1”","6","","","",""
"73","find","Verb","“A1”","6","","","",""
"74","now","Adverb","“A1”","6","","","",""
